112,KARNATAKA BANK LIMITED,KTKBANK
113,KAVERI SEED CO. LTD.,KSCL
114,KOTAK MAHINDRA BANK LTD,KOTAKBANK
115,KPIT TECHNOLOGIES LTD,KPIT
116,L&T FINANCE HOLDINGS LTD,L&TFH
117,LARSEN & TOUBRO LTD.,LT
118,LIC HOUSING FINANCE LTD,LICHSGFIN
119,LUPIN LIMITED,LUPIN
120,M&M FIN. SERVICES LTD,M&MFIN
121,MAHANAGAR GAS LIMITED,MGL
122,MAHINDRA & MAHINDRA LTD,M&M
123,MANAPPURAM FINANCE LIMITED,MANAPPURAM
124,MANGALORE REFINERY AND PETROCHEMICALS LIMITED,MRPL
125,MARICO LIMITED,MARICO
126,MARUTI SUZUKI INDIA LTD.,MARUTI
127,MAX FINANCIAL SERVICES LIMITED,MFSL
128,MINDTREE LIMITED,MINDTREE
129,MOTHERSON SUMI SYSTEMS LT,MOTHERSUMI
130,MRF LTD,MRF
131,MULTI COMMODITY EXCHANGE OF INDIA LIMITED,MCX
132,MUTHOOT FINANCE LIMITED,MUTHOOTFIN
133,NATIONAL ALUMINIUM COMPANY LIMITED,NATIONALUM
134,NBCC (INDIA) LIMITED,NBCC
135,NCC LIMITED,NCC
136,NESTLE INDIA LIMITED,NESTLEIND
137,NHPC LTD,NHPC
138,NIIT TECHNOLOGIES LTD,NIITTECH
139,NMDC LTD.,NMDC
140,NTPC LTD,NTPC
141,OIL AND NATURAL GAS CORP.,ONGC
142,OIL INDIA LTD,OIL
143,ORACLE FIN SERV SOFT LTD.,OFSS
144,ORIENTAL BANK OF COMMERCE,ORIENTBANK
145,PAGE INDUSTRIES LTD,PAGEIND
146,PC JEWELLER LTD,PCJEWELLER
147,PETRONET LNG LIMITED,PETRONET
148,PIDILITE INDUSTRIES LTD,PIDILITIND
149,PIRAMAL ENTERPRISES LIMITED,PEL
150,POWER FIN CORP LTD.,PFC
151,POWER GRID CORP. LTD.,POWERGRID
152,PTC INDIA LIMITED,PTC
153,PUNJAB NATIONAL BANK,PNB
154,PVR LIMITED,PVR
155,RAYMOND LIMITED,RAYMOND
156,RBL BANK LIMITED,RBLBANK
157,RELIANCE CAPITAL LTD,RELCAPITAL
158,RELIANCE COMMUNICATIONS L,RCOM
159,RELIANCE NAVAL AND ENGINEERING LIMITED,RNAVAL
160,RELIANCE INDUSTRIES LTD,RELIANCE
161,RELIANCE INFRASTRUCTU LTD,RELINFRA
162,RELIANCE POWER LTD.,RPOWER
163,REPCO HOME FINANCE LIMITED,REPCOHOME
164,RURAL ELEC CORP. LTD.,RECLTD
165,SHREE CEMENTS LIMITED,SHREECEM
166,SHRIRAM TRANSPORT FIN CO.,SRTRANSFIN
167,SIEMENS LTD,SIEMENS
168,SREI INFRASTRUCTURE FINANCE LIMITED,SREINFRA
169,SRF LTD,SRF
170,STATE BANK OF INDIA,SBIN
171,STEEL AUTHORITY OF INDIA,SAIL
172,STRIDES SHASUN LIMITED,STAR
173,SUN PHARMACEUTICALS IND.,SUNPHARMA
174,SUN TV NETWORK LIMITED,SUNTV
175,SUZLON ENERGY LIMITED,SUZLON
176,SYNDICATE BANK,SYNDIBANK
177,TATA CHEMICALS LTD,TATACHEM
178,TATA COMMUNICATIONS LTD,TATACOMM
179,TATA CONSULTANCY SERV LT,TCS
180,TATA ELXSI LIMITED,TATAELXSI
181,TATA GLOBAL BEVERAGES LTD,TATAGLOBAL
182,TATA MOTORS DVR 'A' ORD,TATAMTRDVR
183,TATA MOTORS LIMITED,TATAMOTORS
184,TATA POWER CO LTD,TATAPOWER
185,TATA STEEL LIMITED,TATASTEEL
186,TECH MAHINDRA LIMITED,TECHM
187,THE INDIA CEMENTS LIMITED,INDIACEM
188,THE RAMCO CEMENTS LIMITED,RAMCOCEM
189,THE SOUTH INDIAN BANK LTD,SOUTHBANK
190,TITAN COMPANY LIMITED,TITAN
191,TORRENT PHARMACEUTICALS L,TORNTPHARM
192,TORRENT POWER LTD,TORNTPOWER
193,TV18 BROADCAST LIMITED,TV18BRDCST
194,TVS MOTOR COMPANY LTD,TVSMOTOR
195,UJJIVAN FINANCIAL SERVICES LIMITED,UJJIVAN
196,ULTRATECH CEMENT LIMITED,ULTRACEMCO
197,UNION BANK OF INDIA,UNIONBANK
198,UNITED BREWERIES LTD,UBL
199,UNITED SPIRITS LIMITED,MCDOWELL-N
200,UPL LIMITED,UPL
201,VEDANTA LIMITED,VEDL
202,V-GUARD INDUSTRIES LIMITED,VGUARD
203,VOLTAS LTD,VOLTAS
204,WIPRO LTD,WIPRO
205,WOCKHARDT LIMITED,WOCKPHARMA
206,YES BANK LIMITED,YESBANK
207,ZEE ENTERTAINMENT ENT LTD,ZEEL
